date,ticker,quantity,price,type,activity_description,net_amount,details,trade_date,principal,commission_/_fees,settlement_date,principal_in_local_currency,commission_/_fees_in_local_currency,net_amount_in_local_currency,price_in_local_currency,cusip
2025-09-05,ULTY,0.0,0.0,Cash,Cash Dividend Received,262.17,2913 Shrs Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf Rd 09/04 Pd 09/05/25,,0.0,0.0,2025-09-05,0.0,0.0,262.17,0.0,88636J527
2025-09-05,ULTY,8.0,5.485,Cash,Buy 8.00000 Share(s) Of Ulty At 5.4850,-43.88,Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf Unsolicited Order,2025-09-05 00:00:00,-43.88,0.0,2025-09-08,-43.88,0.0,-43.88,5.485,88636J527
2025-09-05,JEPQ,4.0,55.915,Cash,Buy 4.00000 Share(s) Of Jepq At 55.9150,-223.66,J P Morgan Exchange-traded Fd Tr Nasdaq Equity Prem Income Etf Unsolicited Order,2025-09-05 00:00:00,-223.66,0.0,2025-09-08,-223.66,0.0,-223.66,55.915,46654Q203
2025-09-02,ULTY,48.0,5.6,Cash,Buy 48.00000 Share(s) Of Ulty At 5.6000,-268.8,Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf Unsolicited Order,2025-09-02 00:00:00,-268.8,0.0,2025-09-03,-268.8,0.0,-268.8,5.6,88636J527
2025-08-29,ULTY,0.0,0.0,Cash,Cash Dividend Received,271.89,2865 Shrs Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf Rd 08/28 Pd 08/29/25,,0.0,0.0,2025-08-29,0.0,0.0,271.89,0.0,88636J527
2025-08-26,ULTY,2.0,5.7798,Cash,Buy 2.00000 Share(s) Of Ulty At 5.7798,-11.56,Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf With Due Bills Unsolicited Order,2025-08-26 00:00:00,-11.56,0.0,2025-08-27,-11.56,0.0,-11.56,5.7798,88636J527
2025-08-26,ULTY,30.0,5.7698,Cash,Buy 30.00000 Share(s) Of Ulty At 5.7698,-173.09,Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf With Due Bills Unsolicited Order,2025-08-26 00:00:00,-173.09,0.0,2025-08-27,-173.09,0.0,-173.09,5.7698,88636J527
2025-08-25,ULTY,0.0,0.0,Cash,Cash Dividend Received,281.6,2816 Shrs Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf Rd 08/21 Pd 08/22/25,,0.0,0.0,2025-08-25,0.0,0.0,281.6,0.0,88636J527
2025-08-25,ULTY,17.0,5.69,Cash,Buy 17.00000 Share(s) Of Ulty At 5.6900,-96.73,Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf Unsolicited Order,2025-08-25 00:00:00,-96.73,0.0,2025-08-26,-96.73,0.0,-96.73,5.69,88636J527
2025-08-15,ULTY,0.0,0.0,Cash,Cash Dividend Received,198.18,1970 Shrs Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf Rd 08/14 Pd 08/15/25,,0.0,0.0,2025-08-15,0.0,0.0,198.18,0.0,88636J527
2025-08-15,ULTY,6.0,5.905,Cash,Buy 6.00000 Share(s) Of Ulty At 5.9050,-35.43,Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf Unsolicited Order,2025-08-15 00:00:00,-35.43,0.0,2025-08-18,-35.43,0.0,-35.43,5.905,88636J527
2025-08-15,ULTY,840.0,5.87,Cash,Buy 840.00000 Share(s) Of Ulty At 5.8700,-4930.8,Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf Unsolicited Order,2025-08-15 00:00:00,-4930.8,0.0,2025-08-18,-4930.8,0.0,-4930.8,5.87,88636J527
2025-08-11,ULTY,1970.0,6.0899,Cash,Buy 1970.00000 Share(s) Of Ulty At 6.0899,-11997.1,Tidal Tr Ii Yieldmax Ultra Option Income Strategy Etf Unsolicited Order,2025-08-11 00:00:00,-11997.1,0.0,2025-08-12,-11997.1,0.0,-11997.1,6.0899,88636J527
